Time,Ax,Ay,Az
71.86,-0.97,0.03,-0.15
71.96,-0.97,0.03,-0.15
72.06,-0.97,0.03,-0.15
72.17,-0.97,0.03,-0.15
72.27,-0.98,0.03,-0.15
72.37,-0.98,0.04,-0.15
72.48,-0.98,0.03,-0.15
72.58,-0.97,0.04,-0.15
72.68,-0.97,0.04,-0.15
72.79,-0.98,0.03,-0.15
72.89,-0.98,0.03,-0.15
72.99,-0.97,0.03,-0.15
73.10,-0.98,0.03,-0.15
73.20,-0.98,0.03,-0.15
73.30,-0.98,0.03,-0.15
73.41,-0.98,0.03,-0.15
73.51,-0.97,0.03,-0.15
73.61,-0.97,0.03,-0.15
73.72,-0.98,0.03,-0.15
73.82,-0.97,0.03,-0.15
73.93,-0.97,0.03,-0.15
74.03,-0.97,0.04,-0.15
74.13,-0.97,0.03,-0.15
74.23,-0.97,0.03,-0.15
74.34,-0.97,0.04,-0.15
74.44,-0.97,0.03,-0.15
74.54,-0.97,0.03,-0.15
74.65,-0.98,0.03,-0.15
74.75,-0.98,0.03,-0.15
74.86,-0.97,0.03,-0.15
74.96,-0.98,0.03,-0.15
75.06,-0.97,0.04,-0.15
75.16,-0.97,0.03,-0.14
75.27,-0.98,0.03,-0.15
